"PUID","Format Name","Format Version","Format Risk","Extension"
"fmt/660","Adobe Type 1 Mac Font File","","",","
"fmt/1449","Aldus FreeHand Drawing","1","",","
"fmt/1450","Aldus FreeHand Drawing","2","",","
"fmt/1171","Alias PowerAnimator File","9.0","",","
"fmt/1170","Alias Studio Wire File","8.5","",","
"fmt/1175","Alias Studio Wire File","9.0","",","
"fmt/1440","Apple iWork Numbers","09","",","
"fmt/966","AppleDouble Resource Fork","1","",","
"fmt/503","AppleDouble Resource Fork","2","",","
"x-fmt/135","Audio Interchange File Format","1.3","",","
"fmt/1916","Autodesk Alias Wire Format","7","",","
"fmt/1399","DiskDoubler","","",","
"fmt/1600","ESRI ArcInfo DAT File (Internal)","","",","
"fmt/990","ESRI File Geodatabase","","",","
"fmt/60","Excel 95 Workbook (xls)","7","",","
"fmt/1009","FBX (Filmbox) Binary","","",","
"fmt/1072","FileMaker Pro Database","1","",","
"x-fmt/110","Fixed Width Values Text File","","",","
"fmt/1490","HyperCard Stack","","",","
"x-fmt/288","IBM DisplayWrite Document","2","",","
"x-fmt/289","IBM DisplayWrite Document","3","",","
"x-fmt/194","IRIS Graphics","","",","
"fmt/149","JTIP (JPEG Tiled Image Pyramid)","","",","
"x-fmt/165","Kodak PhotoCD Image","1.0","",","
"fmt/280","LaTeX (Master document)","","",","
"fmt/281","LaTeX (Subdocument)","","",","
"fmt/1922","LiveCode Stack","8.0","",","
"fmt/1310","LocoFile","","",","
"fmt/1304","LocoScript Document","1","",","
"fmt/1305","LocoScript Document","2","",","
"fmt/1306","LocoScript Document","3","",","
"fmt/1307","LocoScript Document","4","",","
"fmt/1308","LocoScript PC","","",","
"fmt/1309","LocoScript Professional","","",","
"x-fmt/212","Lotus 1-2-3 Worksheet","5.0","",","
"fmt/1761","MacBinary","I","",","
"fmt/1425","MacDraw","0.9","",","
"fmt/1426","MacDraw","1.x","",","
"fmt/1427","MacDraw","II","",","
"fmt/1428","MacDraw","Pro","",","
"fmt/692","Mach-O","32bit","",","
"fmt/693","Mach-O","64bit","",","
"x-fmt/14","Macintosh Text File","","",","
"fmt/1429","MacPaint Image","2","",","
